-------------------------------------------------------------------------------------------------------------------------------
|Ce. |Material          |Texto breve de material                 |UMB| Libre utilización| Stock en tránsito|         Bloqueado|
|F009|10132349          |ISOFLOW 8800                            |L  |                0 |                0 |                0 |
|F011|10132349          |ISOFLOW 8800                            |L  |                0 |                0 |                0 |
|F012|10132349          |ISOFLOW 8800                            |L  |                0 |                0 |                0 |
|F014|10132349          |ISOFLOW 8800                            |L  |                0 |                0 |                0 |
|F015|10132349          |ISOFLOW 8800                            |L  |                0 |                0 |                0 |
|F020|10132349          |ISOFLOW 8800                            |L  |          504,159 |                0 |                0 |
|F030|10132349          |ISOFLOW 8800                            |L  |          337,883 |                0 |                0 |
|F031|10132349          |ISOFLOW 8800                            |L  |                0 |                0 |                0 |
|F046|10132349          |ISOFLOW 8800                            |L  |                0 |                0 |                0 |
|F048|10132349          |ISOFLOW 8800                            |L  |                0 |                0 |                0 |
|F049|10132349          |ISOFLOW 8800                            |L  |        1.134,270 |                0 |                0 |
|F058|10132349          |ISOFLOW 8800                            |L  |          355,827 |                0 |                0 |
|F061|10132349          |ISOFLOW 8800                            |L  |                0 |                0 |                0 |
|F066|10132349          |ISOFLOW 8800                            |L  |            0,124 |                0 |                0 |
|F069|10132349          |ISOFLOW 8800                            |L  |        3.571,168 |                0 |                0 |
|F075|10132349          |ISOFLOW 8800                            |L  |                0 |                0 |                0 |
|F080|10132349          |ISOFLOW 8800                            |L  |                0 |                0 |                0 |
|FA04|10132349          |ISOFLOW 8800                            |L  |                0 |                0 |                0 |
|FA05|10132349          |ISOFLOW 8800                            |L  |                0 |                0 |                0 |
|FB25|10132349          |ISOFLOW 8800                            |L  |        6.783,489 |                0 |                0 |
|FB40|10132349          |ISOFLOW 8800                            |L  |                0 |                0 |                0 |
|FB63|10132349          |ISOFLOW 8800                            |L  |                0 |                0 |                0 |
|FB80|10132349          |ISOFLOW 8800                            |L  |                0 |                0 |                0 |
|FB84|10132349          |ISOFLOW 8800                            |L  |                0 |                0 |                0 |
|FB87|10132349          |ISOFLOW 8800                            |L  |                0 |                0 |                0 |
|FB93|10132349          |ISOFLOW 8800                            |L  |                0 |                0 |                0 |
|F001|10133841          |ISOXEL 7500                             |L  |                0 |                0 |                0 |
|F003|10133841          |ISOXEL 7500                             |L  |                0 |                0 |                0 |
|F006|10133841          |ISOXEL 7500                             |L  |                0 |                0 |                0 |
|F007|10133841          |ISOXEL 7500                             |L  |                0 |                0 |                0 |
|F009|10133841          |ISOXEL 7500                             |L  |                0 |                0 |                0 |
